"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"1094","OR","216,000","279,000","63,000","29.17%","$0.99","51% ($0.49)","39% (N/A)"
"1095","Ys Origin","203,000","279,000","76,000","37.44%","$19.99","70% ($5.99)","95% (76%)"
"1096","Quantum Conundrum","268,000","279,000","11,000","4.1%","$8.99","89% ($0.98)","83% (77%)"
"1097","Surviving Mars","130,000","279,000","149,000","114.62%","$29.99","40% ($20.99)","69% (76%)"
"1098","Broken Sword 2 - the Smoking Mirror: Remastered","226,000","279,000","53,000","23.45%","$5.99","60% ($2.39)","90% (N/A)"
"1099","Yakuza 0","0","278,000","278,000","0%","$19.99","33% ($13.39)","85% (86%)"
"1100","Hexoscope","217,000","278,000","61,000","28.11%","$2.99","0% ($2.99)","82% (N/A)"
"1101","Worms W.M.D","247,000","278,000","31,000","12.55%","$29.99","66% ($10.19)","78% (79%)"
"1102","Disgaea PC / 魔界戦記ディスガイア PC","174,000","278,000","104,000","59.77%","$14.99","65% ($5.24)","87% (74%)"
"1103","Conclusion","199,000","277,000","78,000","39.2%","$1.99","75% ($0.49)","35% (N/A)"
"1104","Two Point Hospital","0","277,000","277,000","0%","$34.99","10% ($31.49)","83% (84%)"
"1105","Halo Wars: Definitive Edition","181,000","277,000","96,000","53.04%","$19.99","50% ($9.99)","89% (N/A)"
"1106","Secret Of Magia","246,000","277,000","31,000","12.6%","$1.99","84% ($0.49)","45% (N/A)"
"1107","Data Hacker: Initiation","246,000","277,000","31,000","12.6%","$2.99","83% ($0.5)","69% (N/A)"
"1108","Darkness Assault","108,000","277,000","169,000","156.48%","$0.99","75% ($0.49)","45% (N/A)"
"1109","Audiosurf 2","213,000","277,000","64,000","30.05%","$14.99","67% ($4.94)","81% (76%)"
"1110","Gridberd","264,000","277,000","13,000","4.92%","$6.99","80% ($1.39)","27% (N/A)"
"1111","Alien Shooter","147,000","277,000","130,000","88.44%","$4.99","90% ($0.49)","89% (N/A)"
"1112","The Ball","273,000","277,000","4,000","1.47%","$9.99","80% ($1.99)","74% (68%)"
"1113","Battle Chasers: Nightwar","141,000","277,000","136,000","96.45%","$29.99","67% ($9.89)","88% (79%)"
"1114","Downwell","273,000","277,000","4,000","1.47%","$2.99","50% ($1.49)","96% (81%)"
"1115","Starseed Pilgrim","227,000","276,000","49,000","21.59%","$5.99","35% ($3.89)","76% (83%)"
"1116","Graveyard Keeper","0","276,000","276,000","0%","$19.99","30% ($13.99)","74% (69%)"
"1117","They Bleed Pixels","259,000","276,000","17,000","6.56%","$9.99","80% ($1.99)","87% (74%)"
"1118","Full Mojo Rampage","220,000","276,000","56,000","25.45%","$12.99","50% ($6.49)","85% (N/A)"
"1119","hack_me","271,000","275,000","4,000","1.48%","$3.99","87% ($0.51)","70% (N/A)"
"1120","Men of War: Red Tide","268,000","275,000","7,000","2.61%","$4.99","80% ($0.99)","81% (77%)"
"1121","Dreamfall Chapters","249,000","275,000","26,000","10.44%","$24.99","75% ($6.24)","82% (71%)"
"1122","LEGO Batman","267,000","275,000","8,000","3%","$19.99","75% ($4.99)","80% (80%)"
"1123","Zombie Zoeds","242,000","274,000","32,000","13.22%","$0.99","83% ($0.49)","30% (N/A)"
"1124","8BitBoy","264,000","274,000","10,000","3.79%","$11.99","90% ($1.19)","74% (N/A)"
"1125","Destiny Warriors RPG","263,000","274,000","11,000","4.18%","$1.99","83% ($0.49)","47% (N/A)"
"1126","Sid Meier's Starships","271,000","274,000","3,000","1.11%","$14.99","50% ($7.49)","44% (64%)"
"1127","Heaven Forest - VR MMO","207,000","273,000","66,000","31.88%","$0.99","0% ($0.99)","67% (N/A)"
"1128","Stealth Bastard Deluxe","263,000","273,000","10,000","3.8%","$9.99","90% ($1.29)","88% (80%)"
"1129","Hidden Folks","118,000","273,000","155,000","131.36%","$7.99","55% ($3.59)","97% (78%)"
"1130","Fran Bow","235,000","272,000","37,000","15.74%","$14.99","75% ($3.74)","96% (70%)"
"1131","Primal Carnage: Extinction","223,000","271,000","48,000","21.52%","$12.99","80% ($2.59)","73% (N/A)"
"1132","Dead Effect","232,000","271,000","39,000","16.81%","$4.99","80% ($0.99)","71% (59%)"
"1133","CPUCores :: Maximize Your FPS","201,000","270,000","69,000","34.33%","$14.99","51% ($7.34)","72% (N/A)"
"1134","TerraTech","206,000","270,000","64,000","31.07%","$24.99","40% ($11.99)","83% (N/A)"
"1135","Oddworld: Stranger's Wrath HD","261,000","269,000","8,000","3.07%","$9.99","75% ($2.49)","84% (N/A)"
"1136","The Jackbox Party Pack 2","214,000","269,000","55,000","25.7%","$24.99","50% ($12.49)","95% (N/A)"
"1137","Call of Duty","261,000","269,000","8,000","3.07%","$19.99","51% ($9.79)","93% (91%)"
"1138","Magdalena","256,000","269,000","13,000","5.08%","$2.99","83% ($0.5)","36% (N/A)"
"1139","Edna & Harvey: The Breakout","223,000","268,000","45,000","20.18%","$14.99","90% ($1.49)","82% (N/A)"
"1140","Through Abandoned","80,000","267,000","187,000","233.75%","$0.99","51% ($0.49)","77% (N/A)"
"1141","Dungetris","258,000","267,000","9,000","3.49%","$4.99","60% ($1.99)","76% (N/A)"
"1142","Cobi Treasure Deluxe","250,000","267,000","17,000","6.8%","$2.99","66% ($1.01)","74% (N/A)"
"1143","DreadOut","245,000","267,000","22,000","8.98%","$14.99","90% ($1.49)","76% (55%)"
"1144","RUINER","139,000","267,000","128,000","92.09%","$19.99","60% ($7.99)","90% (75%)"
"1145","METAL SLUG X","261,000","267,000","6,000","2.3%","$7.99","50% ($3.99)","91% (N/A)"
"1146","NiGHTS Into Dreams","232,000","266,000","34,000","14.66%","$7.99","85% ($1.19)","91% (N/A)"
"1147","Dungeon Creepster","19,000","266,000","247,000","1300%","$0.99","51% ($0.49)","50% (N/A)"
"1148","Blood Bowl: Chaos Edition","246,000","266,000","20,000","8.13%","$14.99","75% ($3.74)","78% (N/A)"
"1149","Avencast: Rise of the Mage","256,000","265,000","9,000","3.52%","$9.99","90% ($0.99)","69% (68%)"
"1150","Train Valley","237,000","265,000","28,000","11.81%","$9.99","80% ($1.99)","88% (69%)"
"1151","Faerie Solitaire","248,000","264,000","16,000","6.45%","$9.99","90% ($0.99)","90% (N/A)"
"1152","Tower Unite","187,000","264,000","77,000","41.18%","$14.99","30% ($10.49)","84% (N/A)"
"1153","Liveza: Death of the Earth","222,000","263,000","41,000","18.47%","$2.99","75% ($0.74)","75% (N/A)"
"1154","Next Day: Survival","187,000","263,000","76,000","40.64%","$9.99","60% ($3.99)","66% (N/A)"
"1155","Wuppo","186,000","263,000","77,000","41.4%","$14.99","74% ($3.89)","95% (78%)"
"1156","Death Road to Canada","234,000","263,000","29,000","12.39%","$14.99","50% ($7.49)","94% (N/A)"
"1157","Breach & Clear","235,000","263,000","28,000","11.91%","$14.99","90% ($1.49)","82% (N/A)"
"1158","Clickdraw Clicker","177,000","263,000","86,000","48.59%","$0.99","51% ($0.49)","17% (N/A)"
"1159","DiRT 4","219,000","262,000","43,000","19.63%","$59.99","80% ($11.99)","66% (78%)"
"1160","Trump Simulator 2017","197,000","262,000","65,000","32.99%","$0.99","51% ($0.49)","50% (N/A)"
"1161","Iron Sky: Invasion","170,000","262,000","92,000","54.12%","$19.99","90% ($1.99)","60% (N/A)"
"1162","Red Death","227,000","262,000","35,000","15.42%","$0.99","51% ($0.49)","78% (N/A)"
"1163","Defend Your Life: TD","218,000","261,000","43,000","19.72%","$4.99","60% ($1.99)","82% (N/A)"
"1164","Pixel Puzzles 2: Anime","250,000","261,000","11,000","4.4%","$9.99","85% ($1.49)","86% (N/A)"
"1165","Prince of Persia","254,000","261,000","7,000","2.76%","$9.99","66% ($3.39)","77% (82%)"
"1166","Pressured","246,000","261,000","15,000","6.1%","$2.99","75% ($0.74)","52% (N/A)"
"1167","Frontlines: Fuel of War","255,000","261,000","6,000","2.35%","$89.99","80% ($4.99)","61% (73%)"
"1168","Wizard of Legend","125,000","261,000","136,000","108.8%","$15.99","25% ($11.99)","88% (79%)"
"1169","LEGO MARVEL's Avengers","217,000","260,000","43,000","19.82%","$19.99","75% ($4.99)","81% (N/A)"
"1170","Anachronox","193,000","260,000","67,000","34.72%","$6.99","86% ($0.97)","80% (77%)"
"1171","The Jackbox Party Pack","248,000","260,000","12,000","4.84%","$24.99","60% ($9.99)","91% (N/A)"
"1172","Oddworld: Munch's Oddysee","240,000","259,000","19,000","7.92%","$4.99","75% ($1.24)","72% (N/A)"
"1173","Farming Simulator 19","0","259,000","259,000","0%","$34.99","0% ($34.99)","76% (72%)"
"1174","Broken Sword 5 - the Serpent's Curse","217,000","259,000","42,000","19.35%","$24.99","60% ($9.99)","87% (N/A)"
"1175","Alien Rage - Unlimited","238,000","258,000","20,000","8.4%","$19.99","90% ($1.99)","70% (52%)"
"1176","Insincere","167,000","258,000","91,000","54.49%","$3.99","87% ($0.51)","47% (N/A)"
"1177","X2: The Threat","231,000","257,000","26,000","11.26%","$4.99","50% ($2.49)","80% (72%)"
"1178","Valley","137,000","257,000","120,000","87.59%","$19.99","90% ($1.99)","90% (N/A)"
"1179","Evil Genius","241,000","257,000","16,000","6.64%","$9.99","75% ($2.49)","95% (75%)"
"1180","Danganronpa: Trigger Happy Havoc","207,000","256,000","49,000","23.67%","$19.99","60% ($7.99)","97% (82%)"
"1181","Sword With Sauce","171,000","256,000","85,000","49.71%","$2.99","0% ($2.99)","84% (N/A)"
"1182","Planes, Bullets and Vodka","104,000","256,000","152,000","146.15%","$0.99","90% ($0.49)","88% (N/A)"
"1183","Blackguards 2","176,000","256,000","80,000","45.45%","$14.99","90% ($1.99)","63% (74%)"
"1184","Comedy Night","250,000","255,000","5,000","2%","$4.99","40% ($2.99)","77% (N/A)"
"1185","Cubetractor","253,000","255,000","2,000","0.79%","$9.99","0% ($9.99)","89% (75%)"
"1186","Xenonauts","238,000","255,000","17,000","7.14%","$24.99","75% ($6.24)","87% (77%)"
"1187","Revenge of the Titans","221,000","255,000","34,000","15.38%","$14.99","63% ($5.54)","84% (79%)"
"1188","Laraan","249,000","254,000","5,000","2.01%","$4.99","50% ($2.49)","69% (N/A)"
"1189","La-Mulana","232,000","254,000","22,000","9.48%","$14.99","67% ($4.94)","82% (80%)"
"1190","Galaxy on Fire 2 Full HD","247,000","254,000","7,000","2.83%","$7.99","63% ($2.95)","71% (N/A)"
"1191","Hard West","207,000","254,000","47,000","22.71%","$19.99","90% ($1.99)","77% (73%)"
"1192","Wishmaster","245,000","254,000","9,000","3.67%","$0.99","51% ($0.49)","67% (N/A)"
"1193","Fahrenheit: Indigo Prophecy Remastered","207,000","254,000","47,000","22.71%","$9.99","80% ($1.99)","82% (N/A)"
"1194","Freedom Force","192,000","254,000","62,000","32.29%","$4.99","75% ($1.24)","63% (90%)"
"1195","Cosmic Pioneer","77,000","254,000","177,000","229.87%","$0.99","51% ($0.49)","N/A (N/A)"
"1196","Gas Guzzlers Extreme","236,000","253,000","17,000","7.2%","$24.99","82% ($4.49)","85% (73%)"
"1197","PC Building Simulator","117,000","253,000","136,000","116.24%","$19.99","25% ($14.99)","89% (N/A)"
"1198","Lumino City","184,000","253,000","69,000","37.5%","$14.99","75% ($3.74)","89% (70%)"
"1199","UNO","160,000","252,000","92,000","57.5%","$9.99","66% ($3.39)","59% (N/A)"
"1200","Road Redemption","167,000","252,000","85,000","50.9%","$19.99","50% ($9.99)","81% (N/A)"
"1201","3SwitcheD","135,000","252,000","117,000","86.67%","$9.99","90% ($0.99)","36% (N/A)"
"1202","Ravenfield","162,000","252,000","90,000","55.56%","$14.99","25% ($11.24)","94% (N/A)"
"1203","StarMade","218,000","252,000","34,000","15.6%","$14.99","54% ($6.89)","69% (N/A)"
"1204","Data Hacker: Corruption","218,000","252,000","34,000","15.6%","$2.99","83% ($0.5)","53% (N/A)"
"1205","Marble Mayhem: Fragile Ball","225,000","251,000","26,000","11.56%","$1.99","75% ($0.49)","65% (N/A)"
"1206","Refunct","231,000","251,000","20,000","8.66%","$2.99","67% ($0.98)","95% (N/A)"
"1207","Precipice of Darkness, Episode Two","238,000","251,000","13,000","5.46%","$7.99","0% ($7.99)","87% (N/A)"
"1208","Shift 2 Unleashed","236,000","251,000","15,000","6.36%","$19.99","75% ($4.99)","61% (84%)"
"1209","Hard Room","243,000","251,000","8,000","3.29%","$2.99","83% ($0.5)","64% (N/A)"
"1210","Weird Worlds: Return to Infinite Space","205,000","251,000","46,000","22.44%","$4.99","80% ($0.99)","70% (79%)"
"1211","Shake Your Money Simulator 2016","247,000","250,000","3,000","1.21%","$0.99","51% ($0.49)","62% (N/A)"
"1212","GOD EATER 2 Rage Burst","232,000","250,000","18,000","7.76%","$49.99","75% ($12.49)","80% (N/A)"
"1213","Pit People","227,000","250,000","23,000","10.13%","$19.99","40% ($11.99)","94% (78%)"
"1214","SEGA Bass Fishing","246,000","250,000","4,000","1.63%","$7.99","85% ($1.19)","82% (N/A)"
"1215","Chompy Chomp Chomp","241,000","250,000","9,000","3.73%","$1.99","50% ($0.99)","74% (N/A)"
"1216","DarkEnd","206,000","250,000","44,000","21.36%","$1.99","90% ($0.79)","64% (N/A)"
"1217","White Mirror","222,000","249,000","27,000","12.16%","$1.99","75% ($0.49)","39% (N/A)"
"1218","Sonic the Hedgehog 4 - Episode I","246,000","249,000","3,000","1.22%","$9.99","75% ($2.49)","50% (N/A)"
"1219","POLYWAR","181,000","248,000","67,000","37.02%","$4.99","90% ($0.49)","73% (N/A)"
"1220","AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome","245,000","248,000","3,000","1.22%","$9.99","78% ($2.19)","82% (N/A)"
"1221","RACE - The WTCC Game","245,000","248,000","3,000","1.22%","$39.99","50% ($19.99)","77% (N/A)"
"1222","Painkiller Overdose","244,000","247,000","3,000","1.23%","$4.99","75% ($1.24)","74% (65%)"
"1223","The Room Two","229,000","247,000","18,000","7.86%","$4.99","75% ($1.24)","97% (N/A)"
"1224","The Journey Down: Chapter One","176,000","247,000","71,000","40.34%","$8.99","70% ($2.69)","87% (72%)"
"1225","EVERSPACE","186,000","247,000","61,000","32.8%","$29.99","70% ($8.99)","77% (79%)"
"1226","Blades of Time","233,000","246,000","13,000","5.58%","$9.99","0% ($9.99)","86% (63%)"
"1227","Jagged Alliance - Back in Action","203,000","246,000","43,000","21.18%","$19.99","80% ($3.99)","67% (62%)"
"1228","Abandoned Knight","228,000","246,000","18,000","7.89%","$2.99","83% ($0.5)","20% (N/A)"
"1229","Colin McRae Rally","237,000","246,000","9,000","3.8%","$6.99","80% ($1.39)","46% (N/A)"
"1230","TowerFall Ascension","197,000","246,000","49,000","24.87%","$14.99","50% ($7.49)","94% (87%)"
"1231","Sonic the Hedgehog 4 - Episode II","164,000","246,000","82,000","50%","$9.99","75% ($2.49)","80% (54%)"
"1232","Sonic & SEGA All-Stars Racing","208,000","246,000","38,000","18.27%","$9.99","75% ($2.49)","78% (65%)"
"1233","Dead Pixels","228,000","245,000","17,000","7.46%","$2.99","75% ($0.74)","86% (N/A)"
"1234","Splice","241,000","245,000","4,000","1.66%","$9.99","0% ($9.99)","89% (70%)"
"1235","Dead Age","204,000","245,000","41,000","20.1%","$14.99","70% ($4.49)","85% (N/A)"
"1236","Space Hulk: Deathwing","215,000","245,000","30,000","13.95%","$39.99","66% ($13.59)","53% (58%)"
"1237","Divekick","236,000","244,000","8,000","3.39%","$4.99","0% ($4.99)","90% (73%)"
"1238","My Bones","179,000","244,000","65,000","36.31%","$1.99","75% ($0.49)","25% (N/A)"
"1239","Whispering Willows","152,000","244,000","92,000","60.53%","$9.99","80% ($1.99)","81% (64%)"
"1240","Introvert Quest","195,000","244,000","49,000","25.13%","$4.99","90% ($0.49)","66% (N/A)"
"1241","HardCube","214,000","244,000","30,000","14.02%","$1.99","75% ($0.49)","83% (N/A)"
"1242","Paint the Town Red","204,000","244,000","40,000","19.61%","$14.99","35% ($9.74)","90% (N/A)"
"1243","Super Star","188,000","244,000","56,000","29.79%","$1.99","75% ($0.49)","80% (N/A)"
"1244","Blood Bowl 2","225,000","244,000","19,000","8.44%","$19.99","70% ($5.99)","70% (76%)"
"1245","Pillars of Eternity II: Deadfire","139,000","244,000","105,000","75.54%","$49.99","34% ($32.99)","81% (88%)"
"1246","Eldritch","205,000","244,000","39,000","19.02%","$14.99","90% ($1.49)","88% (77%)"
"1247","Devil May Cry 3 Special Edition","232,000","243,000","11,000","4.74%","$19.99","75% ($4.99)","57% (66%)"
"1248","Tom Clancy's Splinter Cell Double Agent","234,000","243,000","9,000","3.85%","$9.99","66% ($3.39)","43% (80%)"
"1249","Alien Run","215,000","243,000","28,000","13.02%","$1.99","75% ($0.49)","29% (N/A)"
"1250","Rampage Knights","234,000","243,000","9,000","3.85%","$11.99","75% ($2.99)","93% (80%)"
"1251","Bionic Commando","234,000","243,000","9,000","3.85%","$9.99","80% ($1.99)","74% (69%)"
"1252","Nex Machina","195,000","242,000","47,000","24.1%","$19.99","70% ($5.99)","88% (84%)"
"1253","Rayman Legends","202,000","242,000","40,000","19.8%","$29.99","66% ($10.19)","92% (89%)"
"1254","Hyperdimension Neptunia Re;Birth2: Sisters Generation / 超次次元ゲイム ネプテューヌRe;Birth2 / 超次次元遊戲 戰機少女 重生2","199,000","242,000","43,000","21.61%","$24.99","80% ($4.99)","92% (N/A)"
"1255","Rolling Sun","199,000","242,000","43,000","21.61%","$4.99","90% ($0.49)","50% (N/A)"
"1256","Foxhole","199,000","241,000","42,000","21.11%","$19.99","40% ($11.99)","80% (N/A)"
"1257","Spintires: MudRunner","183,000","241,000","58,000","31.69%","$24.99","50% ($12.49)","82% (N/A)"
"1258","Freedom Force vs. the Third Reich","149,000","241,000","92,000","61.74%","$4.99","75% ($1.24)","86% (N/A)"
"1259","CrossCode","89,000","241,000","152,000","170.79%","$19.99","15% ($16.99)","95% (85%)"
"1260","Insanely Twisted Shadow Planet","209,000","241,000","32,000","15.31%","$14.99","75% ($3.74)","88% (76%)"
"1261","Space Beret","229,000","241,000","12,000","5.24%","$0.99","51% ($0.49)","36% (N/A)"
"1262","Trolley Gold","227,000","241,000","14,000","6.17%","$1.99","50% ($0.99)","N/A (N/A)"
"1263","BARRIER X","233,000","240,000","7,000","3%","$2.99","75% ($0.74)","88% (N/A)"
"1264","Dead Island: Riptide Definitive Edition","180,000","240,000","60,000","33.33%","$19.99","75% ($4.99)","66% (N/A)"
"1265","Run Away","238,000","240,000","2,000","0.84%","$4.99","80% ($0.99)","38% (N/A)"
"1266","Samorost 3","168,000","240,000","72,000","42.86%","$19.99","70% ($5.99)","95% (80%)"
"1267","Worms","101,000","239,000","138,000","136.63%","$7.99","80% ($1.59)","85% (N/A)"
"1268","Adventures of Shuggy","237,000","239,000","2,000","0.84%","$4.99","90% ($0.49)","89% (N/A)"
"1269","King's Bounty: Warriors of the North","229,000","239,000","10,000","4.37%","$9.99","80% ($1.99)","79% (74%)"
"1270","Dragonia","178,000","239,000","61,000","34.27%","$1.99","70% ($0.59)","87% (N/A)"
"1271","Need for Speed: Shift","224,000","238,000","14,000","6.25%","$19.99","75% ($4.99)","72% (83%)"
"1272","Super Duper Flying Genocide 2017","212,000","238,000","26,000","12.26%","$0.99","51% ($0.49)","70% (N/A)"
"1273","Gone In November","182,000","238,000","56,000","30.77%","$0.99","51% ($0.49)","53% (N/A)"
"1274","Aim Hero","200,000","238,000","38,000","19%","$4.99","0% ($4.99)","86% (N/A)"
"1275","AI: Rampage","198,000","238,000","40,000","20.2%","$1.99","75% ($0.49)","22% (N/A)"
"1276","I Am Alive","230,000","237,000","7,000","3.04%","$14.99","75% ($3.74)","65% (66%)"
"1277","Cruel Arena","120,000","236,000","116,000","96.67%","$0.99","30% ($0.69)","64% (N/A)"
"1278","The Book of Unwritten Tales","226,000","236,000","10,000","4.42%","$19.99","75% ($4.99)","89% (82%)"
"1279","LEGO Star Wars III - The Clone Wars","212,000","236,000","24,000","11.32%","$19.99","65% ($6.99)","85% (76%)"
"1280","Gemini Rue","233,000","236,000","3,000","1.29%","$9.99","75% ($2.49)","89% (82%)"
"1281","Intergalactic Bubbles","216,000","235,000","19,000","8.8%","$1.99","0% ($1.99)","81% (N/A)"
"1282","Vampyr","100,000","235,000","135,000","135%","$49.99","50% ($24.99)","71% (72%)"
"1283","High On Racing","202,000","235,000","33,000","16.34%","$4.99","90% ($0.49)","N/A (N/A)"
"1284","Mars: War Logs","224,000","234,000","10,000","4.46%","$14.99","75% ($3.74)","72% (59%)"
"1285","Watch This!","38,000","234,000","196,000","515.79%","$3.99","87% ($0.51)","73% (N/A)"
"1286","Life Beetle","123,000","234,000","111,000","90.24%","$0.99","51% ($0.49)","73% (N/A)"
