"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"183","Orcs Must Die!","1,256,000","1,545,000","289,000","23.01%","$9.99","75% ($2.49)","96% (83%)"
"184","Thief","1,456,000","1,535,000","79,000","5.43%","$29.99","85% ($4.49)","70% (70%)"
"185","Scribblenauts Unlimited","1,475,000","1,522,000","47,000","3.19%","$19.99","75% ($4.99)","91% (75%)"
"186","No Man's Sky","952,000","1,500,000","548,000","57.56%","$59.99","50% ($29.99)","49% (61%)"
"187","Europa Universalis IV","1,387,000","1,497,000","110,000","7.93%","$39.99","75% ($9.99)","82% (87%)"
"188","Assassin's Creed Origins","1,308,000","1,489,000","181,000","13.84%","$59.99","60% ($23.99)","83% (N/A)"
"189","Stories: The Path of Destinies","1,209,000","1,488,000","279,000","23.08%","$14.99","50% ($7.49)","85% (74%)"
"190","Dino D-Day","1,467,000","1,486,000","19,000","1.3%","$9.99","90% ($0.99)","86% (53%)"
"191","Assassin's Creed 2 Deluxe Edition","1,368,000","1,480,000","112,000","8.19%","$19.99","66% ($6.79)","84% (86%)"
"192","ARMA: Cold War Assault","1,214,000","1,476,000","262,000","21.58%","$4.99","80% ($0.99)","85% (N/A)"
"193","Football Manager 2018","372,000","1,471,000","1,099,000","295.43%","$49.99","66% ($17)","61% (82%)"
"194","Sid Meier's Civilization: Beyond Earth","1,445,000","1,465,000","20,000","1.38%","$39.99","75% ($9.99)","53% (81%)"
"195","Dead Space 2","1,032,000","1,453,000","421,000","40.79%","$19.99","75% ($4.99)","94% (87%)"
"196","SCUM","0","1,451,000","1,451,000","0%","$19.99","20% ($15.99)","66% (N/A)"
"197","To the Moon","1,416,000","1,449,000","33,000","2.33%","$9.99","66% ($3.39)","96% (81%)"
"198","Hell Yeah! Wrath of the Dead Rabbit","1,304,000","1,447,000","143,000","10.97%","$14.99","75% ($3.74)","86% (64%)"
"199","Factorio","1,083,000","1,447,000","364,000","33.61%","$30","0% ($30)","98% (N/A)"
"200","FEZ","1,405,000","1,446,000","41,000","2.92%","$9.99","75% ($2.49)","92% (91%)"
"201","Sniper Elite 3","1,331,000","1,433,000","102,000","7.66%","$29.99","80% ($5.99)","78% (N/A)"
"202","RimWorld","806,000","1,430,000","624,000","77.42%","$34.99","0% ($29.99)","97% (93%)"
"203","Game Dev Tycoon","1,379,000","1,429,000","50,000","3.63%","$9.99","75% ($2.49)","95% (68%)"
"204","Lord of the Rings: War in the North","1,415,000","1,429,000","14,000","0.99%","$19.99","0% ($19.99)","77% (66%)"
"205","Alan Wake's American Nightmare","750,000","1,421,000","671,000","89.47%","$8.99","80% ($1.8)","70% (73%)"
"206","How to Survive","1,320,000","1,417,000","97,000","7.35%","$14.99","90% ($1.49)","82% (60%)"
"207","Total War: WARHAMMER II","1,289,000","1,409,000","120,000","9.31%","$59.99","50% ($29.99)","87% (87%)"
